alpha3Code,gender,population,age
KIR,Female,1306,12
KWT,Female,26221,12
KGZ,Female,55025,12
LAO,Female,73217,12
LVA,Female,10325,12
LBN,Female,43283,12
LSO,Female,24343,12
LBR,Female,60359,12
LBY,Female,57154,12
LTU,Female,13258,12
LUX,Female,3104,12
MAC,Female,2090,12
MKD,Female,10952,12
MDG,Female,325646,12
MWI,Female,260431,12
MYS,Female,242580,12
MDV,Female,2939,12
MLI,Female,263781,12
MLT,Female,1913,12
MTQ,Female,2637,12
MRT,Female,52982,12
MUS,Female,8193,12
MYT,Female,3403,12
MEX,Female,1111432,12
FSM,Female,1108,12
MDA,Female,20600,12
MNG,Female,25717,12
MNE,Female,3800,12
MAR,Female,300011,12
MOZ,Female,403407,12
MMR,Female,489569,12
NAM,Female,28166,12
NPL,Female,313463,12
NLD,Female,92496,12
NCL,Female,1932,12
NZL,Female,31106,12
NIC,Female,58493,12
NER,Female,305598,12
NGA,Female,2457682,12
PRK,Female,170847,12
NOR,Female,31371,12
OMN,Female,29120,12
PAK,Female,2061417,12
PSE,Female,58719,12
PAN,Female,35756,12
PNG,Female,92721,12
PRY,Female,65129,12
PER,Female,280435,12
PHL,Female,1050329,12
POL,Female,193894,12
PRT,Female,49142,12
PRI,Female,22443,12
QAT,Female,11448,12
REU,Female,6728,12
ROU,Female,102651,12
RUS,Female,746836,12
RWA,Female,157810,12
LCA,Female,1117,12
VCT,Female,901,12
WSM,Female,2401,12
STP,Female,2753,12
SAU,Female,250628,12
SEN,Female,204118,12
SRB,Female,47501,12
SYC,Female,648,12
SLE,Female,100750,12
SGP,Female,29907,12
SVK,Female,27355,12
SVN,Female,10005,12
SLB,Female,7476,12
SOM,Female,200875,12
ZAF,Female,527328,12
KOR,Female,223109,12
SSD,Female,159456,12
ESP,Female,241625,12
LKA,Female,173587,12
SDN,Female,512305,12
SUR,Female,4739,12
SWZ,Female,16167,12
SWE,Female,56474,12
CHE,Female,39643,12
SYR,Female,236768,12
TJK,Female,92865,12
TZA,Female,773222,12
THA,Female,404506,12
TLS,Female,17316,12
TGO,Female,101138,12
TON,Female,1276,12
TTO,Female,9424,12
TUN,Female,80421,12
